===== 07_FERRAMENTAS_COMANDOS_INSTALADOS =====

Name                                            CommandType Source                                  
Save-NetworkSwitchConfiguration                    Function NetworkSwitchManager                    
Save-OsImage                                         Cmdlet Dism                                    
Save-Package                                         Cmdlet PackageManagement                       
Save-Script                                        Function PowerShellGet                           
Save-SoftwareInventory                               Cmdlet Dism                                    
Save-StorageDataCollection                         Function Storage                                 
Save-WindowsImage                                    Cmdlet Dism                                    
Select-Object                                        Cmdlet Microsoft.PowerShell.Utility            
Select-String                                        Cmdlet Microsoft.PowerShell.Utility            
Select-Xml                                           Cmdlet Microsoft.PowerShell.Utility            
Send-AppvClientReport                                Cmdlet AppvClient                              
Send-DtcDiagnosticTransaction                        Cmdlet MsDtc                                   
Send-EtwTraceSession                               Function EventTracingManagement                  
Send-MailMessage                                     Cmdlet Microsoft.PowerShell.Utility            
Set-Acl                                              Cmdlet Microsoft.PowerShell.Security           
Set-Alias                                            Cmdlet Microsoft.PowerShell.Utility            
Set-AppBackgroundTaskResourcePolicy                  Cmdlet AppBackgroundTask                       
Set-AppLockerPolicy                                  Cmdlet AppLocker                               
Set-AppPackageAutoUpdateSettings                      Alias Appx                                    
Set-AppPackageDefaultVolume                           Alias Appx                                    
Set-AppPackageProvisionedDataFile                     Alias Dism                                    
Set-AppvClientConfiguration                          Cmdlet AppvClient                              
Set-AppvClientMode                                   Cmdlet AppvClient                              
Set-AppvClientPackage                                Cmdlet AppvClient                              
Set-AppvPublishingServer                             Cmdlet AppvClient                              
Set-AppxDefaultVolume                                Cmdlet Appx                                    
Set-AppxPackageAutoUpdateSettings                    Cmdlet Appx                                    
Set-AppXProvisionedDataFile                          Cmdlet Dism                                    
Set-AssignedAccess                                 Function AssignedAccess                          
Set-AuthenticodeSignature                            Cmdlet Microsoft.PowerShell.Security           
Set-AutologgerConfig                                  Alias EventTracingManagement                  
Set-BCAuthentication                               Function BranchCache                             
Set-BCCache                                        Function BranchCache                             
Set-BCDataCacheEntryMaxAge                         Function BranchCache                             
Set-BcdBootDefault                                   Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Set-BcdBootDisplayOrder                              Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Set-BcdBootSequence                                  Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Set-BcdBootTimeout                                   Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Set-BcdBootToolsDisplayOrder                         Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Set-BcdDebugSettings                                 Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Set-BcdElement                                       Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Set-BcdHypervisorSettings                            Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Set-BCMinSMBLatency                                Function BranchCache                             
Set-BCSecretKey                                    Function BranchCache                             
Set-BitsTransfer                                     Cmdlet BitsTransfer                            
Set-CertificateAutoEnrollmentPolicy                  Cmdlet PKI                                     
Set-CimInstance                                      Cmdlet CimCmdlets                              
Set-CIPolicyIdInfo                                   Cmdlet ConfigCI                                
Set-CIPolicySetting                                  Cmdlet ConfigCI                                
Set-CIPolicyVersion                                  Cmdlet ConfigCI                                
Set-Clipboard                                        Cmdlet Microsoft.PowerShell.Management         
Set-ClusteredScheduledTask                         Function ScheduledTasks                          
Set-Content                                          Cmdlet Microsoft.PowerShell.Management         
Set-Culture                                          Cmdlet International                           
Set-DAClientExperienceConfiguration                Function DirectAccessClientComponents            
Set-DAEntryPointTableItem                          Function DirectAccessClientComponents            
Set-Date                                             Cmdlet Microsoft.PowerShell.Utility            
Set-DeliveryOptimizationStatus                     Function DeliveryOptimization                    
Set-Disk                                           Function Storage                                 
Set-DnsClient                                      Function DnsClient                               
Set-DnsClientDohServerAddress                      Function DnsClient                               
Set-DnsClientGlobalSetting                         Function DnsClient                               
Set-DnsClientNrptGlobal                            Function DnsClient                               
Set-DnsClientNrptRule                              Function DnsClient                               
Set-DnsClientServerAddress                         Function DnsClient                               
Set-DODownloadMode                                 Function DeliveryOptimization                    
Set-DOMaxBackgroundBandwidth                       Function DeliveryOptimization                    
Set-DOMaxForegroundBandwidth                       Function DeliveryOptimization                    
Set-DOPercentageMaxBackgroundBandwidth             Function DeliveryOptimization                    
Set-DOPercentageMaxForegroundBandwidth             Function DeliveryOptimization                    
Set-DscLocalConfigurationManager                     Cmdlet PSDesiredStateConfiguration             
Set-DtcAdvancedHostSetting                         Function MsDtc                                   
Set-DtcAdvancedSetting                             Function MsDtc                                   
Set-DtcClusterDefault                              Function MsDtc                                   
Set-DtcClusterTMMapping                            Function MsDtc                                   
Set-DtcDefault                                     Function MsDtc                                   
Set-DtcLog                                         Function MsDtc                                   
Set-DtcNetworkSetting                              Function MsDtc                                   
Set-DtcTransaction                                 Function MsDtc                                   
Set-DtcTransactionsTraceSession                    Function MsDtc                                   
Set-DtcTransactionsTraceSetting                    Function MsDtc                                   
Set-DynamicParameterVariables                      Function Pester                                  
Set-EtwTraceProvider                               Function EventTracingManagement                  
Set-EtwTraceSession                                   Alias EventTracingManagement                  
Set-ExecutionPolicy                                  Cmdlet Microsoft.PowerShell.Security           
Set-FileIntegrity                                  Function Storage                                 
Set-FileShare                                      Function Storage                                 
Set-FileStorageTier                                Function Storage                                 
Set-HVCIOptions                                      Cmdlet ConfigCI                                
Set-InitiatorPort                                  Function Storage                                 
Set-IscsiChapSecret                                Function iSCSI                                   
Set-Item                                             Cmdlet Microsoft.PowerShell.Management         
Set-ItemProperty                                     Cmdlet Microsoft.PowerShell.Management         
Set-JobTrigger                                       Cmdlet PSScheduledJob                          
Set-KdsConfiguration                                 Cmdlet Kds                                     
Set-KmsLicenseInfo                                 Function OSLicense                               
Set-LapsADAuditing                                   Cmdlet LAPS                                    
Set-LapsADComputerSelfPermission                     Cmdlet LAPS                                    
Set-LapsADPasswordExpirationTime                     Cmdlet LAPS                                    
Set-LapsADReadPasswordPermission                     Cmdlet LAPS                                    
Set-LapsADResetPasswordPermission                    Cmdlet LAPS                                    
Set-LocalGroup                                       Cmdlet Microsoft.PowerShell.LocalAccounts      
Set-LocalUser                                        Cmdlet Microsoft.PowerShell.LocalAccounts      
Set-Location                                         Cmdlet Microsoft.PowerShell.Management         
Set-LogProperties                                  Function PSDiagnostics                           
Set-MMAgent                                        Function MMAgent                                 
Set-MpPreference                                   Function Defender                                
Set-MpPreference                                   Function ConfigDefender                          
Set-MsixDefaultVolume                                 Alias Appx                                    
Set-MsixPackageAutoUpdateSettings                     Alias Appx                                    
Set-MsixPackageDefaultVolume                          Alias Appx                                    
Set-NCSIPolicyConfiguration                        Function NetworkConnectivityStatus               
Set-Net6to4Configuration                           Function NetworkTransition                       
Set-NetAdapter                                     Function NetAdapter                              
Set-NetAdapterAdvancedProperty                     Function NetAdapter                              
Set-NetAdapterBinding                              Function NetAdapter                              
Set-NetAdapterChecksumOffload                      Function NetAdapter                              
Set-NetAdapterDataPathConfiguration                Function NetAdapter                              
Set-NetAdapterEncapsulatedPacketTaskOffload        Function NetAdapter                              
Set-NetAdapterIPsecOffload                         Function NetAdapter                              
Set-NetAdapterLso                                  Function NetAdapter                              
Set-NetAdapterPacketDirect                         Function NetAdapter                              
Set-NetAdapterPowerManagement                      Function NetAdapter                              
Set-NetAdapterQos                                  Function NetAdapter                              
Set-NetAdapterRdma                                 Function NetAdapter                              
Set-NetAdapterRsc                                  Function NetAdapter                              
Set-NetAdapterRss                                  Function NetAdapter                              
Set-NetAdapterSriov                                Function NetAdapter                              
Set-NetAdapterUro                                  Function NetAdapter                              
Set-NetAdapterUso                                  Function NetAdapter                              
Set-NetAdapterVmq                                  Function NetAdapter                              
Set-NetConnectionProfile                           Function NetConnection                           
Set-NetDnsTransitionConfiguration                  Function NetworkTransition                       
Set-NetEventPacketCaptureProvider                  Function NetEventPacketCapture                   
Set-NetEventProvider                               Function NetEventPacketCapture                   
Set-NetEventSession                                Function NetEventPacketCapture                   
Set-NetEventVFPProvider                            Function NetEventPacketCapture                   
Set-NetEventVmSwitchProvider                       Function NetEventPacketCapture                   
Set-NetEventWFPCaptureProvider                     Function NetEventPacketCapture                   
Set-NetFirewallAddressFilter                       Function NetSecurity                             
Set-NetFirewallApplicationFilter                   Function NetSecurity                             
Set-NetFirewallHyperVProfile                       Function NetSecurity                             
Set-NetFirewallHyperVRule                          Function NetSecurity                             
Set-NetFirewallHyperVVMSetting                     Function NetSecurity                             
Set-NetFirewallInterfaceFilter                     Function NetSecurity                             
Set-NetFirewallInterfaceTypeFilter                 Function NetSecurity                             
Set-NetFirewallPortFilter                          Function NetSecurity                             
Set-NetFirewallProfile                             Function NetSecurity                             
Set-NetFirewallRule                                Function NetSecurity                             
Set-NetFirewallSecurityFilter                      Function NetSecurity                             
Set-NetFirewallServiceFilter                       Function NetSecurity                             
Set-NetFirewallSetting                             Function NetSecurity                             
Set-NetIPAddress                                   Function NetTCPIP                                
Set-NetIPHttpsConfiguration                        Function NetworkTransition                       
Set-NetIPInterface                                 Function NetTCPIP                                
Set-NetIPsecDospSetting                            Function NetSecurity                             
Set-NetIPsecMainModeCryptoSet                      Function NetSecurity                             
Set-NetIPsecMainModeRule                           Function NetSecurity                             
Set-NetIPsecPhase1AuthSet                          Function NetSecurity                             
Set-NetIPsecPhase2AuthSet                          Function NetSecurity                             
Set-NetIPsecQuickModeCryptoSet                     Function NetSecurity                             
Set-NetIPsecRule                                   Function NetSecurity                             
Set-NetIPv4Protocol                                Function NetTCPIP                                
Set-NetIPv6Protocol                                Function NetTCPIP                                
Set-NetIsatapConfiguration                         Function NetworkTransition                       
Set-NetLbfoTeam                                    Function NetLbfo                                 
Set-NetLbfoTeamMember                              Function NetLbfo                                 
Set-NetLbfoTeamNic                                 Function NetLbfo                                 
Set-NetNat                                         Function NetNat                                  
Set-NetNatGlobal                                   Function NetNat                                  
Set-NetNatTransitionConfiguration                  Function NetworkTransition                       
Set-NetNeighbor                                    Function NetTCPIP                                
Set-NetOffloadGlobalSetting                        Function NetTCPIP                                
Set-NetQosPolicy                                   Function NetQos                                  
Set-NetRoute                                       Function NetTCPIP                                
Set-NetTCPSetting                                  Function NetTCPIP                                
Set-NetTeredoConfiguration                         Function NetworkTransition                       
Set-NetUDPSetting                                  Function NetTCPIP                                
Set-NetworkSwitchEthernetPortIPAddress             Function NetworkSwitchManager                    
Set-NetworkSwitchPortMode                          Function NetworkSwitchManager                    
Set-NetworkSwitchPortProperty                      Function NetworkSwitchManager                    
Set-NetworkSwitchVlanProperty                      Function NetworkSwitchManager                    
Set-NonRemovableAppsPolicy                           Cmdlet Dism                                    
Set-OdbcDriver                                     Function Wdac                                    
Set-OdbcDsn                                        Function Wdac                                    
Set-OsConfigurationDocument                          Cmdlet OsConfiguration                         
Set-OsConfigurationProperty                          Cmdlet OsConfiguration                         
Set-OSConfigurationScenarioDefinition                Cmdlet OsConfiguration                         
Set-OSLicenseInfo                                  Function OSLicense                               
Set-PackageSource                                    Cmdlet PackageManagement                       
Set-Partition                                      Function Storage                                 
Set-PcsvDeviceBootConfiguration                    Function PcsvDevice                              
Set-PcsvDeviceNetworkConfiguration                 Function PcsvDevice                              
Set-PcsvDeviceUserPassword                         Function PcsvDevice                              
Set-PhysicalDisk                                   Function Storage                                 
Set-PreferredLanguage                                 Alias LanguagePackManagement                  
Set-PrintConfiguration                             Function PrintManagement                         
Set-Printer                                        Function PrintManagement                         
Set-PrinterProperty                                Function PrintManagement                         
Set-ProcessMitigation                                Cmdlet ProcessMitigations                      
Set-ProvisionedAppPackageDataFile                     Alias Dism                                    
Set-ProvisionedAppXDataFile                           Alias Dism                                    
Set-PSBreakpoint                                     Cmdlet Microsoft.PowerShell.Utility            
Set-PSDebug                                          Cmdlet Microsoft.PowerShell.Core               
Set-PSReadLineKeyHandler                             Cmdlet PSReadLine                              
Set-PSReadLineOption                                 Cmdlet PSReadLine                              
Set-PSRepository                                   Function PowerShellGet                           
Set-PSSessionConfiguration                           Cmdlet Microsoft.PowerShell.Core               
Set-PSWUSettings                                     Cmdlet PSWindowsUpdate                         
Set-RecoveryManagementPluginAltitude                 Cmdlet Dism                                    
Set-RecoveryRemoteManagementStatus                   Cmdlet Dism                                    
Set-ReFSDedupSchedule                                Cmdlet Microsoft.ReFsDedup.Commands            
Set-ReFSDedupScrubSchedule                           Cmdlet Microsoft.ReFsDedup.Commands            
Set-ResiliencySetting                              Function Storage                                 
Set-RuleOption                                       Cmdlet ConfigCI                                
Set-ScheduledJob                                     Cmdlet PSScheduledJob                          
Set-ScheduledJobOption                               Cmdlet PSScheduledJob                          
Set-ScheduledTask                                  Function ScheduledTasks                          
Set-SecureBootUEFI                                   Cmdlet SecureBoot                              
Set-Service                                          Cmdlet Microsoft.PowerShell.Management         
Set-SmbBandwidthLimit                              Function SmbShare                                
Set-SmbClientCertificateMapping                    Function SmbShare                                
Set-SmbClientConfiguration                         Function SmbShare                                
Set-SmbPathAcl                                     Function SmbShare                                
Set-SmbServerAlternativePort                       Function SmbShare                                
Set-SmbServerCertificateMapping                    Function SmbShare                                
Set-SmbServerConfiguration                         Function SmbShare                                
Set-SmbShare                                       Function SmbShare                                
Set-StorageBusCache                                Function StorageBusCache                         
Set-StorageBusProfile                              Function StorageBusCache                         
Set-StorageFileServer                              Function Storage                                 
Set-StorageHealthSetting                           Function Storage                                 
Set-StoragePool                                    Function Storage                                 
Set-StorageProvider                                Function Storage                                 
Set-StorageSetting                                 Function Storage                                 
Set-StorageSubSystem                               Function Storage                                 
Set-StorageTier                                    Function Storage                                 
Set-StrictMode                                       Cmdlet Microsoft.PowerShell.Core               
Set-SubscriptionLicenseInfo                        Function OSLicense                               
Set-SystemLanguage                                    Alias LanguagePackManagement                  
Set-SystemPreferredUILanguage                        Cmdlet LanguagePackManagement                  
Set-TestInconclusive                               Function Pester                                  
Set-TimeZone                                         Cmdlet Microsoft.PowerShell.Management         
Set-TpmOwnerAuth                                     Cmdlet TrustedPlatformModule                   
Set-TraceSource                                      Cmdlet Microsoft.PowerShell.Utility            
Set-UevConfiguration                                 Cmdlet UEV                                     
Set-UevTemplateProfile                               Cmdlet UEV                                     
Setup                                              Function Pester                                  
Set-Variable                                         Cmdlet Microsoft.PowerShell.Utility            
Set-VirtualDisk                                    Function Storage                                 
Set-Volume                                         Function Storage                                 
Set-VolumeScrubPolicy                              Function Storage                                 
Set-VpnConnection                                  Function VpnClient                               
Set-VpnConnectionIPsecConfiguration                Function VpnClient                               
Set-VpnConnectionProxy                             Function VpnClient                               
Set-VpnConnectionTriggerDnsConfiguration           Function VpnClient                               
Set-VpnConnectionTriggerTrustedNetwork             Function VpnClient                               
Set-WheaMemoryPolicy                                 Cmdlet Whea                                    
Set-WinAcceptLanguageFromLanguageListOptOut          Cmdlet International                           
Set-WinCultureFromLanguageListOptOut                 Cmdlet International                           
Set-WinDefaultInputMethodOverride                    Cmdlet International                           
Set-WindowsEdition                                   Cmdlet Dism                                    
Set-WindowsProductKey                                Cmdlet Dism                                    
Set-WindowsReservedStorageState                      Cmdlet Dism                                    
Set-WindowsSearchSetting                             Cmdlet WindowsSearch                           
Set-WinHomeLocation                                  Cmdlet International                           
Set-WinhttpProxy                                   Function WinHttpProxy                            
Set-WinLanguageBarOption                             Cmdlet International                           
Set-WinSystemLocale                                  Cmdlet International                           
Set-WinUILanguageOverride                            Cmdlet International                           
Set-WinUserLanguageList                              Cmdlet International                           
Set-WmiInstance                                      Cmdlet Microsoft.PowerShell.Management         
Set-WSManInstance                                    Cmdlet Microsoft.WSMan.Management              
Set-WSManQuickConfig                                 Cmdlet Microsoft.WSMan.Management              
Set-WUSettings                                       Cmdlet PSWindowsUpdate                         
Should                                             Function Pester                                  
Show-Command                                         Cmdlet Microsoft.PowerShell.Utility            
Show-ControlPanelItem                                Cmdlet Microsoft.PowerShell.Management         
Show-EventLog                                        Cmdlet Microsoft.PowerShell.Management         
Show-NetFirewallRule                               Function NetSecurity                             
Show-NetIPsecRule                                  Function NetSecurity                             
Show-StorageHistory                                Function Storage                                 
Show-VirtualDisk                                   Function Storage                                 
Show-WindowsDeveloperLicenseRegistration             Cmdlet WindowsDeveloperLicense                 
Show-WindowsUpdate                                    Alias PSWindowsUpdate                         
Sort-Object                                          Cmdlet Microsoft.PowerShell.Utility            
Split-Path                                           Cmdlet Microsoft.PowerShell.Management         
Split-WindowsImage                                   Cmdlet Dism                                    
Start-AppBackgroundTask                            Function AppBackgroundTask                       
Start-AppvVirtualProcess                           Function AppvClient                              
Start-AutologgerConfig                             Function EventTracingManagement                  
Start-BitsTransfer                                   Cmdlet BitsTransfer                            
Start-DscConfiguration                               Cmdlet PSDesiredStateConfiguration             
Start-Dtc                                          Function MsDtc                                   
Start-DtcDiagnosticResourceManager                   Cmdlet MsDtc                                   
Start-DtcTransactionsTraceSession                  Function MsDtc                                   
Start-EtwTraceSession                              Function EventTracingManagement                  
Start-Job                                            Cmdlet Microsoft.PowerShell.Core               
Start-MpRollback                                   Function Defender                                
Start-MpRollback                                   Function ConfigDefender                          
Start-MpScan                                       Function Defender                                
Start-MpScan                                       Function ConfigDefender                          
Start-MpWDOScan                                    Function ConfigDefender                          
Start-MpWDOScan                                    Function Defender                                
Start-NetEventSession                              Function NetEventPacketCapture                   
Start-OSUninstall                                    Cmdlet Dism                                    
Start-PcsvDevice                                   Function PcsvDevice                              
Start-Process                                        Cmdlet Microsoft.PowerShell.Management         
Start-ReFSDedupJob                                   Cmdlet Microsoft.ReFsDedup.Commands            
Start-ScheduledTask                                Function ScheduledTasks                          
Start-Service                                        Cmdlet Microsoft.PowerShell.Management         
Start-Sleep                                          Cmdlet Microsoft.PowerShell.Utility            
Start-StorageDiagnosticLog                         Function Storage                                 
Start-Trace                                        Function PSDiagnostics                           
Start-Transaction                                    Cmdlet Microsoft.PowerShell.Management         
Start-Transcript                                     Cmdlet Microsoft.PowerShell.Host               
Stop-AppvClientConnectionGroup                       Cmdlet AppvClient                              
Stop-AppvClientPackage                               Cmdlet AppvClient                              
Stop-Computer                                        Cmdlet Microsoft.PowerShell.Management         
Stop-DscConfiguration                              Function PSDesiredStateConfiguration             
Stop-Dtc                                           Function MsDtc                                   
Stop-DtcDiagnosticResourceManager                    Cmdlet MsDtc                                   
Stop-DtcTransactionsTraceSession                   Function MsDtc                                   
Stop-EtwTraceSession                               Function EventTracingManagement                  
Stop-Job                                             Cmdlet Microsoft.PowerShell.Core               
Stop-NetEventSession                               Function NetEventPacketCapture                   
Stop-PcsvDevice                                    Function PcsvDevice                              
Stop-Process                                         Cmdlet Microsoft.PowerShell.Management         
Stop-ReFSDedupJob                                    Cmdlet Microsoft.ReFsDedup.Commands            
Stop-ScheduledTask                                 Function ScheduledTasks                          
Stop-Service                                         Cmdlet Microsoft.PowerShell.Management         
Stop-StorageDiagnosticLog                          Function Storage                                 
Stop-StorageJob                                    Function Storage                                 
Stop-Trace                                         Function PSDiagnostics                           
Stop-Transcript                                      Cmdlet Microsoft.PowerShell.Host               
Suspend-BitLocker                                  Function BitLocker                               
Suspend-BitsTransfer                                 Cmdlet BitsTransfer                            
Suspend-Job                                          Cmdlet Microsoft.PowerShell.Core               
Suspend-PrintJob                                   Function PrintManagement                         
Suspend-ReFSDedupSchedule                            Cmdlet Microsoft.ReFsDedup.Commands            
Suspend-Service                                      Cmdlet Microsoft.PowerShell.Management         
Suspend-StorageBusDisk                             Function StorageBusCache                         
Switch-Certificate                                   Cmdlet PKI                                     
Sync-AppvPublishingServer                            Cmdlet AppvClient                              
Sync-NetIPsecRule                                  Function NetSecurity                             
T:                                                 Function                                         
TabExpansion2                                      Function                                         
Tee-Object                                           Cmdlet Microsoft.PowerShell.Utility            
Test-AppLockerPolicy                                 Cmdlet AppLocker                               
Test-Certificate                                     Cmdlet PKI                                     
Test-ComputerSecureChannel                           Cmdlet Microsoft.PowerShell.Management         
Test-Connection                                      Cmdlet Microsoft.PowerShell.Management         
Test-DscConfiguration                                Cmdlet PSDesiredStateConfiguration             
Test-Dtc                                           Function MsDtc                                   
Test-FileCatalog                                     Cmdlet Microsoft.PowerShell.Security           
Test-KdsRootKey                                      Cmdlet Kds                                     
Test-ModuleManifest                                  Cmdlet Microsoft.PowerShell.Core               
Test-NetConnection                                 Function NetTCPIP                                
Test-Path                                            Cmdlet Microsoft.PowerShell.Management         
Test-PSSessionConfigurationFile                      Cmdlet Microsoft.PowerShell.Core               
Test-ScriptFileInfo                                Function PowerShellGet                           
Test-UevTemplate                                     Cmdlet UEV                                     
Test-WSMan                                           Cmdlet Microsoft.WSMan.Management              
Trace-Command                                        Cmdlet Microsoft.PowerShell.Utility            
U:                                                 Function                                         
Unblock-File                                         Cmdlet Microsoft.PowerShell.Utility            
Unblock-FileShareAccess                            Function Storage                                 
Unblock-SmbClientAccessToServer                    Function SmbShare                                
Unblock-SmbShareAccess                             Function SmbShare                                
Unblock-Tpm                                          Cmdlet TrustedPlatformModule                   
Undo-DtcDiagnosticTransaction                        Cmdlet MsDtc                                   
Undo-Transaction                                     Cmdlet Microsoft.PowerShell.Management         
UnHide-WindowsUpdate                                  Alias PSWindowsUpdate                         
Uninstall-Dtc                                      Function MsDtc                                   
Uninstall-Language                                   Cmdlet LanguagePackManagement                  
Uninstall-Module                                   Function PowerShellGet                           
Uninstall-Package                                    Cmdlet PackageManagement                       
Uninstall-ProvisioningPackage                        Cmdlet Provisioning                            
Uninstall-Script                                   Function PowerShellGet                           
Uninstall-TrustedProvisioningCertificate             Cmdlet Provisioning                            
Uninstall-WindowsUpdate                               Alias PSWindowsUpdate                         
Unlock-BitLocker                                   Function BitLocker                               
Unprotect-CmsMessage                                 Cmdlet Microsoft.PowerShell.Security           
Unpublish-AppvClientPackage                          Cmdlet AppvClient                              
Unregister-AppBackgroundTask                       Function AppBackgroundTask                       
Unregister-ClusteredScheduledTask                  Function ScheduledTasks                          
Unregister-Event                                     Cmdlet Microsoft.PowerShell.Utility            
Unregister-IscsiSession                            Function iSCSI                                   
Unregister-PackageSource                             Cmdlet PackageManagement                       
Unregister-PSRepository                            Function PowerShellGet                           
Unregister-PSSessionConfiguration                    Cmdlet Microsoft.PowerShell.Core               
Unregister-RecoveryManagementPlugin                  Cmdlet Dism                                    
Unregister-ScheduledJob                              Cmdlet PSScheduledJob                          
Unregister-ScheduledTask                           Function ScheduledTasks                          
Unregister-StorageSubsystem                        Function Storage                                 
Unregister-UevTemplate                               Cmdlet UEV                                     
Unregister-WindowsDeveloperLicense                   Cmdlet WindowsDeveloperLicense                 
Update-AutologgerConfig                            Function EventTracingManagement                  
Update-Disk                                        Function Storage                                 
Update-DscConfiguration                            Function PSDesiredStateConfiguration             
Update-EtwTraceSession                             Function EventTracingManagement                  
Update-FormatData                                    Cmdlet Microsoft.PowerShell.Utility            
Update-Help                                          Cmdlet Microsoft.PowerShell.Core               
Update-HostStorageCache                            Function Storage                                 
Update-IscsiTarget                                 Function iSCSI                                   
Update-IscsiTargetPortal                           Function iSCSI                                   
Update-LapsADSchema                                  Cmdlet LAPS                                    
Update-List                                          Cmdlet Microsoft.PowerShell.Utility            
Update-Module                                      Function PowerShellGet                           
Update-ModuleManifest                              Function PowerShellGet                           
Update-MpSignature                                 Function Defender                                
Update-MpSignature                                 Function ConfigDefender                          
Update-NetFirewallDynamicKeywordAddress            Function NetSecurity                             
Update-NetIPsecRule                                Function NetSecurity                             
Update-Script                                      Function PowerShellGet                           
Update-ScriptFileInfo                              Function PowerShellGet                           
Update-SmbMultichannelConnection                   Function SmbShare                                
Update-StorageBusCache                             Function StorageBusCache                         
Update-StorageFirmware                             Function Storage                                 
Update-StoragePool                                 Function Storage                                 
Update-StorageProviderCache                        Function Storage                                 
Update-TypeData                                      Cmdlet Microsoft.PowerShell.Utility            
Update-UevTemplate                                   Cmdlet UEV                                     
Update-WIMBootEntry                                  Cmdlet Dism                                    
Update-WUModule                                      Cmdlet PSWindowsUpdate                         
Use-Transaction                                      Cmdlet Microsoft.PowerShell.Management         
Use-WindowsUnattend                                  Cmdlet Dism                                    
V:                                                 Function                                         
W:                                                 Function                                         
Wait-Debugger                                        Cmdlet Microsoft.PowerShell.Utility            
Wait-Event                                           Cmdlet Microsoft.PowerShell.Utility            
Wait-Job                                             Cmdlet Microsoft.PowerShell.Core               
Wait-Process                                         Cmdlet Microsoft.PowerShell.Management         
Where-Object                                         Cmdlet Microsoft.PowerShell.Core               
Write-Debug                                          Cmdlet Microsoft.PowerShell.Utility            
Write-DtcTransactionsTraceSession                  Function MsDtc                                   
Write-Error                                          Cmdlet Microsoft.PowerShell.Utility            
Write-EventLog                                       Cmdlet Microsoft.PowerShell.Management         
Write-FileSystemCache                                 Alias VMDirectStorage                         
Write-FileSystemCache                                 Alias Storage                                 
Write-Host                                           Cmdlet Microsoft.PowerShell.Utility            
Write-Information                                    Cmdlet Microsoft.PowerShell.Utility            
Write-Output                                         Cmdlet Microsoft.PowerShell.Utility            
Write-PrinterNfcTag                                Function PrintManagement                         
Write-Progress                                       Cmdlet Microsoft.PowerShell.Utility            
Write-Verbose                                        Cmdlet Microsoft.PowerShell.Utility            
